idper,year,ager,hincome,marital,locality,educatn,VAW
1.94E+26,2020,2,2,1,2,6,1
1.76E+26,2020,2,1,1,2,5,1
1.76E+26,2020,4,1,1,2,5,1
1.68E+26,2020,3,5,2,1,8,1
1.71E+26,2020,3,3,1,1,7,1
1.71E+26,2020,5,3,4,1,8,1
1.89E+26,2020,4,1,5,2,6,1
1.89E+26,2020,1,3,1,2,3,1
1.89E+26,2020,6,1,2,1,7,1
1.71E+26,2020,1,5,1,2,5,1
1.68E+26,2020,4,2,2,2,5,1
1.68E+26,2020,4,3,1,1,3,1
1.68E+26,2020,3,2,1,1,5,1
1.68E+26,2020,3,2,1,1,5,1
1.68E+26,2020,2,3,1,1,6,1
1.89E+26,2020,6,3,2,2,6,1
1.90E+26,2020,6,1,2,2,6,1
1.68E+26,2020,4,3,4,2,7,1
1.68E+26,2020,4,3,4,2,7,1
1.89E+26,2020,5,5,2,2,6,1
1.68E+26,2020,5,2,2,2,5,1
1.71E+26,2020,2,1,1,2,6,1
1.90E+26,2020,4,5,2,2,7,1
1.68E+26,2020,6,1,3,2,2,1
1.90E+26,2020,3,2,1,2,4,1
1.89E+26,2020,5,2,2,2,7,1
1.90E+26,2020,2,5,1,2,7,1
1.79E+26,2020,6,2,4,2,6,1
1.79E+26,2020,4,3,2,2,7,1
2.00E+26,2020,4,1,5,2,6,1
2.00E+26,2020,4,1,5,2,6,1
2.00E+26,2020,4,1,5,2,6,1
2.00E+26,2020,4,1,5,2,6,1
1.70E+26,2020,5,1,1,2,6,1
1.84E+26,2020,4,3,2,2,8,1
1.84E+26,2020,4,3,2,2,8,1
1.70E+26,2020,5,3,4,1,8,1
1.84E+26,2020,3,3,1,1,7,1
1.84E+26,2020,2,3,1,1,5,1
2.00E+26,2020,2,3,1,1,7,1
1.84E+26,2020,3,3,2,2,7,1
1.84E+26,2020,3,3,2,2,7,1
1.84E+26,2020,3,3,2,2,7,1
1.84E+26,2020,3,3,2,2,7,1
1.84E+26,2020,3,3,2,2,7,1
1.70E+26,2020,4,2,5,2,6,1
1.84E+26,2020,5,4,2,2,7,1
1.84E+26,2020,5,4,2,2,7,1
2.00E+26,2020,4,2,1,2,6,1
1.70E+26,2020,2,1,1,2,5,1
1.79E+26,2020,2,1,1,2,6,1
2.00E+26,2020,4,1,4,2,7,1
1.84E+26,2020,5,5,2,2,6,1
2.00E+26,2020,5,3,2,3,7,1
1.70E+26,2020,4,3,2,2,8,1
