Country,Demographics Question,Demographics Response,Question,Survey Year,Value
1,Education,Higher,... if she burns the food,2015,10.1
1,Education,Secondary,... if she burns the food,2015,13.7
1,Education,Primary,... if she burns the food,2015,13.8
1,Education,No education,... if she burns the food,2015,19.1
1,Education,Higher,... for at least one specific reason,2015,61.1
1,Education,No education,... for at least one specific reason,2015,81.0
1,Education,Primary,... for at least one specific reason,2015,79.8
1,Education,Secondary,... for at least one specific reason,2015,76.0
1,Education,Higher,... if she argues with him,2015,37.7
1,Education,No education,... if she argues with him,2015,60.2
1,Education,Primary,... if she argues with him,2015,56.9
1,Education,Secondary,... if she argues with him,2015,55.4
1,Education,Higher,... if she goes out without telling him,2015,41.1
1,Education,No education,... if she goes out without telling him,2015,68.4
1,Education,Primary,... if she goes out without telling him,2015,64.1
1,Education,Secondary,... if she goes out without telling him,2015,58.2
1,Education,Higher,... if she neglects the children,2015,33.4
1,Education,No education,... if she neglects the children,2015,48.9
1,Education,Primary,... if she neglects the children,2015,50.6
1,Education,Secondary,... if she neglects the children,2015,44.4
1,Education,Higher,... if she refuses to have sex with him,2015,10.8
1,Education,No education,... if she refuses to have sex with him,2015,34.2
1,Education,Primary,... if she refuses to have sex with him,2015,35.9
1,Education,Secondary,... if she refuses to have sex with him,2015,26.6
2,Education,Higher,... if she burns the food,2017,0.2
2,Education,Secondary,... if she burns the food,2017,0.6
2,Education,Primary,... if she burns the food,2017,1.3
2,Education,No education,... if she burns the food,2017,5.8
2,Education,Higher,... for at least one specific reason,2017,1.4
2,Education,No education,... for at least one specific reason,2017,26.3
2,Education,Primary,... for at least one specific reason,2017,11.1
2,Education,Secondary,... for at least one specific reason,2017,5.5
2,Education,Higher,... if she argues with him,2017,0.4
2,Education,No education,... if she argues with him,2017,11.7
2,Education,Primary,... if she argues with him,2017,3.2
2,Education,Secondary,... if she argues with him,2017,1.1
2,Education,Higher,... if she goes out without telling him,2017,0.3
2,Education,No education,... if she goes out without telling him,2017,14.9
2,Education,Primary,... if she goes out without telling him,2017,6.9
2,Education,Secondary,... if she goes out without telling him,2017,2.4
2,Education,Higher,... if she neglects the children,2017,1.1
2,Education,No education,... if she neglects the children,2017,21.1
2,Education,Primary,... if she neglects the children,2017,8.6
2,Education,Secondary,... if she neglects the children,2017,4.2
2,Education,Higher,... if she refuses to have sex with him,2017,0.1
2,Education,No education,... if she refuses to have sex with him,2017,6.3
2,Education,Primary,... if she refuses to have sex with him,2017,1.5
2,Education,Secondary,... if she refuses to have sex with him,2017,0.6
3,Education,Higher,... if she burns the food,2015,0.9
3,Education,Secondary,... if she burns the food,2015,5.3
3,Education,Primary,... if she burns the food,2015,13.4
3,Education,No education,... if she burns the food,2015,17.3
3,Education,Higher,... for at least one specific reason,2015,7.0
3,Education,No education,... for at least one specific reason,2015,34.5
3,Education,Primary,... for at least one specific reason,2015,30.9
3,Education,Secondary,... for at least one specific reason,2015,16.8
3,Education,Higher,... if she argues with him,2015,3.0
3,Education,No education,... if she argues with him,2015,23.9
3,Education,Primary,... if she argues with him,2015,19.1
3,Education,Secondary,... if she argues with him,2015,8.2
3,Education,Higher,... if she goes out without telling him,2015,2.8
3,Education,No education,... if she goes out without telling him,2015,21.0
3,Education,Primary,... if she goes out without telling him,2015,18.5
3,Education,Secondary,... if she goes out without telling him,2015,8.5
3,Education,Higher,... if she neglects the children,2015,4.2
3,Education,No education,... if she neglects the children,2015,22.3
3,Education,Primary,... if she neglects the children,2015,20.1
3,Education,Secondary,... if she neglects the children,2015,10.8
3,Education,Higher,... if she refuses to have sex with him,2015,2.5
3,Education,No education,... if she refuses to have sex with him,2015,19.9
3,Education,Primary,... if she refuses to have sex with him,2015,14.2
3,Education,Secondary,... if she refuses to have sex with him,2015,5.3
4,Education,No education,... if she burns the food,2015,16.1
4,Education,Higher,... if she burns the food,2015,0.0
4,Education,Primary,... if she burns the food,2015,0.1
4,Education,Secondary,... if she burns the food,2015,0.9
4,Education,Higher,... for at least one specific reason,2015,6.6
4,Education,No education,... for at least one specific reason,2015,16.1
